class,binSpecies,sex,n_dead,rms,ks_D,ndims,external_hazard,n_flags,flags
Mammalia,Pseudois nayaur,m,188,0.03015,0.06141,5,8.423,2,high_makeham_h=0.00022/d; infant_spike_frac=0.50
Mammalia,Felis margarita,f,170,0.03383,0.06399,4,,0,ok
Aves,Anas erythrorhyncha,m,78,0.02547,0.0505,4,,1,low_n_dead=78
Amphibia,Dyscophus antongilii,m,141,0.02298,0.04266,4,,1,bimodal_BC=0.878
Mammalia,Capra nubiana,f,831,0.03657,0.06088,4,,0,ok
Mammalia,Dasyprocta azarae,m,171,0.01879,0.02685,4,,0,ok
Mammalia,Dendrolagus matschiei,m,81,0.02349,0.04908,4,,1,low_n_dead=81
Mammalia,Vulpes zerda,m,366,0.03486,0.06199,4,,0,ok
Mammalia,Vulpes lagopus,f,233,0.03253,0.05592,4,,0,ok
Aves,Radjah radjah,f,138,0.03752,0.06237,4,,0,ok
Aves,Acryllium vulturinum,f,422,0.01346,0.03359,4,,0,ok
Mammalia,Tragelaphus spekii,f,1240,0.01246,0.02885,4,,0,ok
Mammalia,Echinops telfairi,f,420,0.00867,0.01392,4,,0,ok
Mammalia,Galago senegalensis,f,324,0.009,0.01753,4,,0,ok
Aves,Padda oryzivora,m,78,0.03898,0.0509,4,,1,low_n_dead=78
Aves,Crossoptilon crossoptilon,f,65,0.02056,0.04787,4,,1,low_n_dead=65
Aves,Himantopus himantopus,m,361,0.02,0.04519,4,,0,ok
Aves,Bambusicola thoracicus,f,72,0.02244,0.03738,4,,1,low_n_dead=72
Mammalia,Lemur catta,m,2087,0.01227,0.02614,4,,0,ok
Aves,Nestor notabilis,f,151,0.01909,0.02694,4,,0,ok
Amphibia,Anaxyrus baxteri,f,466,0.01516,0.04268,4,,0,ok
Aves,Catreus wallichii,m,94,0.03717,0.08602,4,,1,low_n_dead=94
Aves,Egretta garzetta,m,133,0.01964,0.05269,4,,0,ok
Mammalia,Osphranter robustus,f,235,0.01512,0.03991,4,,0,ok
Reptilia,Corallus caninus,f,176,0.01504,0.02355,4,,0,ok
Aves,Guaruba guarouba,f,127,0.01737,0.04078,4,,0,ok
