class,binSpecies,sex,n,n_dead,infant_cutoff_d,ndims,L,rms,arm,wall_s,rho_eta,rho_beta,rho_eps,kappa,omega,s,beta_xc_eps,external_hazard
Mammalia,Pseudois nayaur,m,395,188,153.0859437751004,5,19071.37611012973,0.0301486364618506,production,39.77746559400112,16.651722974420355,0.5478884500162472,0.1044533436691074,0.0172691431393376,74.46360991404337,39.06674626026111,5.245293551845268,8.423213715597283
Mammalia,Felis margarita,f,253,170,251.275,4,4035.0807759367926,0.0338312042532576,removal,55.765292938100174,9.706257202703515,25.76162688979554,4.025647753649432,0.001235129590132,-5.193822104651178,0.773909408507574,6.399374328377703,
Aves,Anas erythrorhyncha,m,110,78,193.819587628866,4,2876.8608322972736,0.0254688956145143,removal,108.92780774226412,2.496964840990851,8.782338389242563,1.3791322989374504,0.2751673930819301,-5.462750727070624,1.1457774850582945,6.368017336704316,
Amphibia,Dyscophus antongilii,m,190,141,211.9556338028169,4,3958.84952345653,0.0229793050084925,production,72.86236271588132,1.7963410779339914,0.1389850765381177,0.678507109512695,0.0010000016575269,1.118905685415922,1.9753315393470476,0.2048395287087515,
Mammalia,Capra nubiana,f,2047,831,113.57622699386502,4,3093.5978649526232,0.0365742201361708,removal,108.8371837832965,4.153849451033008,48.90205643282672,8.001940101194112,0.0010532343396356,-5.851722346724715,0.2547006656603078,6.1112749926145,
Mammalia,Dasyprocta azarae,m,366,171,155.75402843601898,4,2922.434172432616,0.0187856936051096,removal,96.7863398990594,8.168898892362934,37.28652238569654,5.745843278368366,0.0163165501562176,-5.778450843675533,0.4974254302169488,6.489303759131542,
Mammalia,Dendrolagus matschiei,m,97,81,363.0242424242424,4,4689.641133611446,0.0234935314591017,removal,84.7631137771532,4.3999307542473725,7.434054000452178,1.5017626665448662,0.0010136564714684,-3.4852968048344546,1.3967594462130983,4.950218943420565,
Mammalia,Vulpes zerda,m,576,366,262.69815950920247,4,3770.897206497405,0.0348556569129424,removal,39.8824714301154,7.925439531365316,7.349076899272034,0.905370660906824,0.0010066284990088,-3.740299172272252,3.109462055956872,8.117202397426,
Mammalia,Vulpes lagopus,f,459,233,188.86829268292684,4,3406.059676023783,0.0325305549906524,removal,107.49346751812844,11.764298487862987,29.058157102705398,4.605412755599022,0.0010124417561022,-5.03234109268441,0.7447567670724637,6.309566296175732,
Aves,Radjah radjah,f,264,138,245.8055900621118,4,3769.39261715814,0.0375203398908908,removal,67.82569645810872,6.93483623972759,25.33952325010904,4.252373958384898,0.0010001449526235,-5.143504626896109,0.6192794306341398,5.95891224480485,
Aves,Acryllium vulturinum,f,557,422,139.36644144144145,4,1734.2892609953274,0.0134559992576407,removal,100.10373436892404,0.0003308967772532,4.992468647550283,1.2749910075442117,0.2832836286460056,-3.915559536986416,0.0142672130643936,3.915689301343692,
Mammalia,Tragelaphus spekii,f,2015,1240,186.90345199568503,4,3540.6549866047617,0.0124642649666985,removal,85.42033495102078,6.366607420296834,32.801506379334896,5.516027068974495,0.001105523026207,-5.369481022995218,0.457433162900192,5.946581836740904,
Mammalia,Echinops telfairi,f,693,420,229.6644646924829,4,3265.7220412327038,0.0086672262357089,removal,74.71922781295143,0.6792858672873102,1.5272238025216518,0.7790482415077321,0.001000024337889,-1.5243996528117572,1.0579421926731738,1.960371285308259,
Mammalia,Galago senegalensis,f,481,324,195.7935028248588,4,2698.783262439414,0.0089995604568458,removal,72.56455040397123,4.38025084934758,12.685179159589389,2.560752141265272,0.0010333725069806,-4.098426226339099,0.8173008427050594,4.953692688633902,
Aves,Padda oryzivora,m,239,78,137.88953488372093,4,2500.648840923441,0.0389800557854064,removal,81.36254870565608,11.887232495314194,35.58888550607629,4.123944060706245,0.1302520732885154,-7.188572110103331,0.8360410707307285,8.629817713866254,
Aves,Crossoptilon crossoptilon,f,103,65,188.09759036144575,4,3424.699471848289,0.0205583695915249,removal,93.2119314270094,4.032167689715552,15.32301678688623,3.2204320632697176,0.0010074980254768,-4.132033429240507,0.6235268372491395,4.758062423254074,
Aves,Himantopus himantopus,m,553,361,221.50547945205483,4,3461.3087371408897,0.020002670303041,removal,99.72678234707564,1.3723317213889938,16.48168438470861,3.543100900474724,0.0010105074094346,-4.458105757557665,0.3306328728787994,4.651768280858247,
Aves,Bambusicola thoracicus,f,160,72,122.90560747663552,4,2590.779002764547,0.0224417138751832,removal,280.12254953500815,11.522211889063318,78.97229525791853,10.030185512797235,0.0579594021041458,-7.299086265152198,0.3384222925645567,7.8734630737547135,
Mammalia,Lemur catta,m,5913,2087,299.68304137159896,4,6690.454503488525,0.0122699228649583,removal,80.17531111091375,8.001487518151647,28.890404724164167,4.720011155590762,0.0010792716732556,-5.27322079220237,0.5992973274472512,6.120833992085811,
Aves,Nestor notabilis,f,303,151,283.597175141243,4,5488.247217149778,0.0190862025103492,removal,156.6439132313244,1.0656303615497786,25.39438820183558,4.394178615352947,0.0626633502594206,-5.657843068599014,0.2349230262080295,5.779097853034329,
Amphibia,Anaxyrus baxteri,f,594,466,126.28283261802576,4,1356.2437270866774,0.0151550682860057,removal,101.27906307391822,1.0292437540099335,1.5266921086114598,0.2873452056951879,3.883957177273919,-3.522140657116389,3.5306540437443994,5.31309407065923,
Aves,Catreus wallichii,m,233,94,125.21769911504424,4,2243.1817856205616,0.0371735867794733,removal,91.37278830911964,7.476850386151315,43.23392242862771,6.909263038586928,0.0010028659998676,-5.716311134049633,0.3957561007446441,6.257385510896666,
Aves,Egretta garzetta,m,246,133,262.7162162162162,4,4041.7461287424926,0.0196352976837813,removal,75.92118701292202,5.966910421824477,23.309324856408463,4.077697253249123,0.0010762236032,-4.984644122194336,0.5990454589836608,5.716296087904888,
Mammalia,Osphranter robustus,f,374,235,280.7647727272728,4,3796.46213192898,0.0151229563257799,removal,58.686236592009664,1.3462262618016267,1.4467972065123298,0.6334447124338345,0.001001328747837,-1.221391639120092,1.83168299656726,2.2840149710199893,
Reptilia,Corallus caninus,f,246,176,273.06596858638744,4,3760.8584770172615,0.0150376128947557,removal,43.65373059501872,1.075531115634865,2.247724376140003,0.9182262739820736,0.0010145814416933,-1.862241221770957,1.129436384175546,2.447898126887932,
Aves,Guaruba guarouba,f,308,127,339.6007042253521,4,6364.239723145859,0.0173704582122768,removal,180.56316821300425,0.2067684454320155,0.4072371042671281,0.542175680502056,0.0010000025440161,-0.5604325175001429,0.8386912228959235,0.7511165087486507,
Mammalia,Canis rufus,f,456,275,257.7846560846561,4,4007.569691988328,0.0243688550389158,removal,65.27342433389276,10.31131231086884,14.895710951349765,2.1227531168509595,0.0012911503746149,-4.588406781078914,1.5127162885330128,7.01716597804228,
Mammalia,Panthera leo,m,3249,1642,262.5384337349398,5,13355.811752934953,0.0195536364010712,production,26.26364888995886,6.62636620615329,0.0111123692213718,0.0880200102403282,2.227736330841805,37.515000564523454,29.24531489920978,0.1262482155027113,9.35168434536669
Reptilia,Elaphe taeniura,m,139,83,296.1164705882353,4,3810.134931112346,0.0264460212701496,removal,62.23217784520239,7.096363860536433,22.36958461410612,3.8000359136586743,0.0010992466804697,-4.952953896090065,0.7010197226103203,5.886677158418928,
Mammalia,Rangifer tarandus,f,2465,1435,195.59520578923565,4,3722.277975435557,0.025318577505315,removal,70.11492056027055,10.124014492467676,27.63043361807488,4.322137903844486,0.0010220901450762,-5.221588684564349,0.7361693969024421,6.392770020942175,
