binSpecies,genus,family,order,confidence,common_name
Dasyprocta azarae,Dasyprocta,Dasyproctidae,Rodentia,99,Azara s Agouti
Vulpes zerda,Vulpes,Canidae,Carnivora,99,Fennec
Galago senegalensis,Galago,Galagidae,Primates,99,Ethiopia Lesser Galago
Crossoptilon crossoptilon,Crossoptilon,Phasianidae,Galliformes,99,White Eared Pheasant
Acryllium vulturinum,Acryllium,Numididae,Galliformes,99,VUGU
Felis margarita,Felis,Felidae,Carnivora,99,Sand Cat
Tragelaphus spekii,Tragelaphus,Bovidae,Artiodactyla,99,East African Sitatunga
Radjah radjah,Radjah,Anatidae,Anseriformes,99,Burdekin Duck
Padda oryzivora,Lonchura,Estrildidae,Passeriformes,98,Java Sparrow
Dendrolagus matschiei,Dendrolagus,Macropodidae,Diprotodontia,99,Huon Tree Kangaroo
Echinops telfairi,Echinops,Tenrecidae,Afrosoricida,99,Kleiner Igeltenrek
Anas erythrorhyncha,Anas,Anatidae,Anseriformes,99,RBTE
Vulpes lagopus,Vulpes,Canidae,Carnivora,99,Arctic Fox
Pseudois nayaur,Pseudois,Bovidae,Artiodactyla,99,Bharal
Capra nubiana,Capra,Bovidae,Artiodactyla,99,Middle Eastern Ibex
Dyscophus antongilii,Dyscophus,Microhylidae,Anura,99,Tomato Frog
Anaxyrus baxteri,Anaxyrus,Bufonidae,Anura,99,Baxter's Toad
Lemur catta,Lemur,Lemuridae,Primates,99,
Himantopus himantopus,Himantopus,Recurvirostridae,Charadriiformes,99,African/Eurasian Black-winged Stilt
Egretta garzetta,Egretta,Ardeidae,Pelecaniformes,99,Chota bok
Rangifer tarandus,Rangifer,Cervidae,Artiodactyla,99,Caribou
Catreus wallichii,Catreus,Phasianidae,Galliformes,99,Cheer Pheasant
Naemorhedus griseus,Naemorhedus,Bovidae,Artiodactyla,99,Chinese Goral
Corallus caninus,Corallus,Boidae,,99,
Elaphe taeniura,Elaphe,Colubridae,,99,Beauty Rat Snake
Streptopelia risoria,Streptopelia,Columbidae,Columbiformes,97,Barbary Dove
Canis rufus,Canis,Canidae,Carnivora,98,Florida Wolf
Osphranter robustus,Macropus,Macropodidae,Diprotodontia,98,Barrow Island Euro
Panthera leo,Panthera,Felidae,Carnivora,99,African Lion
Bambusicola thoracicus,Bambusicola,Phasianidae,Galliformes,99,Chinese Bamboo Partridge
Guaruba guarouba,Guaruba,Psittacidae,Psittaciformes,99,Golden Conure
Nestor notabilis,Nestor,Psittacidae,Psittaciformes,99,Kea
Geokichla dohertyi,,,,0,
Coracias cyanogaster,Coracias,Coraciidae,Coraciiformes,99,BBRO
Macaca nigra,Macaca,Cercopithecidae,Primates,99,Black Crested Macaque
Acrobates pygmaeus,Acrobates,Acrobatidae,Diprotodontia,99,Dusky Feathertail Glider
Mergus squamatus,Mergus,Anatidae,Anseriformes,99,Chinese Merganser
Chloebia gouldiae,Erythrura,Estrildidae,Passeriformes,98,Gouldian Finch
Suricata suricatta,Suricata,Herpestidae,Carnivora,98,Gray Meerkat
Ateles fusciceps,Ateles,Atelidae,Primates,99,Black-headed Spider Monkey
Sapajus apella,Sapajus,Cebidae,Primates,99,Black-capped Capuchin
Spatula platalea,Spatula,Anatidae,Anseriformes,99,Red Shoveler
Sapajus xanthosternos,Sapajus,Cebidae,Primates,99,Buff-headed Capuchin
Grus antigone,Grus,Gruidae,Gruiformes,99,Sarus Crane
Capra caucasica,Capra,Bovidae,Artiodactyla,99,Caucasian Ibex
Ovis dalli,Ovis,Bovidae,Artiodactyla,99,Alaskan White Sheep (dall)
Ducula bicolor,Ducula,Columbidae,Columbiformes,99,Pied Imperial Pigeon
Callosciurus prevostii,Callosciurus,Sciuridae,Rodentia,99,Ardilla de Prevost
Upupa epops,Upupa,Upupidae,Bucerotiformes,99,COHO
Argusianus argus,Argusianus,Phasianidae,Galliformes,99,Argus Pheasant
Gallus varius,Gallus,Phasianidae,Galliformes,99,Green Junglefowl
Dolichotis salinicola,Dolichotis,Caviidae,Rodentia,99,Chacoan Mara
